 x_m, y_m, vx_mps, ax_mps2
17.418223,233.7877141,15.834031925,0.3899663
17.5905482,235.7799745,15.8371097,0.3887735
17.762873,237.772235,15.840177475,0.3876247
17.9351974,239.7644954,15.8432356,0.3853128
18.1075213,241.7567559,15.8462749,0.384134
18.2798445,243.7490165,15.8493043,0.3829995
18.4521672,245.7412772,15.8523242,0.3807177
18.6244891,247.7335378,15.855325525,0.3795528
18.7968103,249.7257985,15.8583171,0.3784323
18.9691307,251.7180594,15.8612993,0.3761803
19.1414503,253.7103203,15.864263175,0.375029
19.3137689,255.7025812,15.86721745,0.3739223
19.4860866,257.6948423,15.87016245,0.3716996
19.6584032,259.6871034,15.8730894,0.3705618
19.8307188,261.6793646,15.87600685,0.3694687
20.0030333,263.671626,15.878915175,0.3672749
20.1753466,265.6638874,15.881805675,0.3661504
20.3476586,267.6561489,15.884686825,0.3650708
20.5199694,269.6484107,15.88755895,0.3629054
20.6922789,271.6406723,15.890413525,0.3617941
20.8645869,273.6329342,15.89325885,0.3607278
21.0368936,275.6251963,15.8960953,0.3585905
21.2091987,277.6174583,15.898914425,0.3574922
21.3815023,279.6097206,15.901724425,0.3564389
21.5538044,281.6019831,15.904525625,0.3543292
21.7261047,283.5942455,15.907309775,0.3532438
21.8984034,285.5865082,15.910084925,0.3522034
22.0707004,287.5787712,15.9128514,0.350121
22.2429956,289.5710341,15.91560105,0.3490482
22.4152889,291.5632972,15.9183418,0.3480206
22.5875804,293.5555607,15.921074025,0.345965
22.7598699,295.547824,15.923789625,0.3449048
22.9321574,297.5400877,15.92649645,0.3438897
23.104443,299.5323517,15.929194875,0.3418606
23.2767263,301.5246155,15.9318769,0.3408127
23.4490076,303.5168797,15.93455025,0.3398101
23.6212867,305.5091443,15.9372153,0.337807
23.7935636,307.5014087,15.9398642,0.3367713
23.9658381,309.4936734,15.942504525,0.335781
24.1381104,311.4859387,15.945136675,0.3338036
24.3103802,313.4782036,15.947752875,0.33278
24.4826476,315.470469,15.950360625,0.3318017
24.6549126,317.4627349,15.9529603,0.3298496
24.827175,319.4550005,15.95554425,0.3288379
24.9994349,321.4472665,15.95811985,0.3278716
25.1716921,323.439533,15.960687475,0.3259444
25.3439467,325.4317993,15.9632396,0.3249446
25.5161985,327.424066,15.9657835,0.32399
25.6884476,329.4163333,15.9683195,0.3220874
25.8606939,331.4086002,15.970840225,0.3210991
26.0329373,333.4008677,15.973352825,0.3201562
26.2051778,335.3931357,15.97585765,0.3182778
26.3774153,337.3854034,15.978347375,0.3173011
26.5496498,339.3776716,15.980829075,0.3163695
26.7218813,341.3699404,15.983303125,0.314515
26.8941095,343.3622089,15.985762275,0.3135496
27.0663344,345.354478,15.9882135,0.3126294
27.2385561,347.3467477,15.990657175,0.3107984
27.4107742,349.339017,15.99308615,0.3098443
27.5829889,351.3312869,15.9955073,0.3089352
27.7552,353.3235576,15.997921,0.3071273
27.9274072,355.3158278,16.0003202,0.3061842
28.0996107,357.3080987,16.002711675,0.3052861
28.2718102,359.3003704,16.0050958,0.3035011
28.4440055,361.2926416,16.0074656,0.302569
28.6161967,363.2849135,16.0098278,0.3016817
28.7883837,365.2771863,16.0121827,0.2999191
28.9605666,367.2694586,16.014523525,0.2989979
29.1327455,369.2617316,16.0168568,0.2981213
29.3049208,371.2540055,16.0191829,0.2963809
29.4770925,373.2462787,16.0214951,0.2954704
29.6492612,375.2385527,16.02379985,0.2946044
29.8214276,377.2308272,16.026097525,0.2928858
29.9935925,379.2231011,16.02838145,0.2919858
30.1657571,381.2153754,16.03065805,0.2911302
30.3379227,383.20765,16.03292765,0.2894329
30.5100911,385.1999236,16.0351837,0.2885432
30.6822645,387.1921972,16.0374325,0.2876977
30.8544456,389.1844703,16.0396744,0.2860211
31.0266374,391.176742,16.041902925,0.2851413
31.1988435,393.1690127,16.0441243,0.2843056
31.3710684,395.161282,16.046338825,0.2826487
31.5433167,397.1535489,16.048540175,0.2817781
31.7155941,399.1458135,16.050734425,0.2809515
31.8879068,401.1380751,16.052921925,0.2793127
32.0602618,403.1303328,16.0550964,0.2784506
32.2326665,405.1225864,16.05726385,0.2776322
32.4051294,407.114835,16.05942465,0.2760098
32.5776593,409.1070776,16.061572525,0.2751551
32.7502656,411.0993137,16.063713475,0.2743439
32.9229582,413.0915423,16.065847825,0.2727364
33.0957473,415.0837625,16.067969375,0.2718886
33.2686434,417.0759735,16.070084075,0.2710844
33.4416566,419.0681743,16.072192225,0.2694917
33.6147972,421.060364,16.074287725,0.2686515
33.7880746,423.0525419,16.076376425,0.2678548
33.9614975,425.0447069,16.07845865,0.266279
34.1350735,427.0368588,16.08052835,0.265399
34.3088089,429.0289968,16.08259095,0.2569822
34.4827079,431.0211203,16.0845879,-0.0229991
34.6567729,433.0132296,16.084409175,-0.4812891
34.8310039,435.0053243,16.080668975,-0.9286813
35.0053985,436.9974044,16.0734495,-2.2288529
35.1799526,438.989471,16.056109425,-3.1162664
35.3546598,440.9815239,16.03183395,-3.9611991
35.529512,442.9735639,16.0009234,-5.8271755
35.7045002,444.9655924,15.955343125,-6.8929173
35.8796139,446.9576097,15.90125795,-7.8932764
36.0548416,448.9496167,15.839096625,-9.8678311
36.2301715,450.9416152,15.7610404,-10.8530684
36.4055909,452.9336055,15.67474195,-11.7627093
36.5810872,454.9255888,15.580670725,-13.3736388
36.7566478,456.917567,15.47302145,-14.0081261
36.9322604,458.9095404,15.359455975,-14.5759394
37.1079137,460.9015098,15.2403888,-15.3194172
37.2835971,462.8934772,15.1142374,-15.3197427
37.4592998,464.8854426,14.987021475,-15.3050403
37.6350136,466.8774066,14.85884005,-15.2248425
37.810734,468.8693708,14.73022365,-15.1218736
37.9864586,470.8613343,14.601355725,-15.0166973
38.1621853,472.8532971,14.472248575,-14.9399689
38.3379116,474.8452609,14.342647875,-14.8380445
38.5136367,476.8372243,14.212761675,-14.7336373
38.6893602,478.8291874,14.082604125,-14.6605069
38.8650826,480.8211515,13.95188745,-14.5595494
39.0408045,482.8131153,13.8208474,-14.4558062
39.2165262,484.8050784,13.689500175,-14.38637
39.3922482,486.7970426,13.557520525,-14.2862952
39.5679704,488.7890063,13.4251751,-14.1830989
39.7436927,490.7809694,13.29248225,-14.117472
39.9194153,492.7729336,13.1590747,-14.0181875
40.0951378,494.7648973,13.025253425,-13.9154073
40.2708602,496.7568603,12.89103945,-13.8537294
40.4465827,498.7488245,12.75601765,-13.7551338
40.622305,500.7407883,12.620527725,-13.6526219
40.7980273,502.7327512,12.4845936,-13.5950627
40.9737496,504.7247155,12.34774565,-13.4970432
41.1494719,506.7166792,12.210367275,-13.3946311
41.3251941,508.7086421,12.07248585,-13.3413974
41.5009164,510.7006065,11.9335689,-13.2438275
41.6766387,512.6925703,11.794049675,-13.1413203
41.8523608,514.6845331,11.653959475,-13.0926655
42.0280831,516.6764975,11.512692875,-12.9954014
42.2038052,518.6684613,11.3707403,-12.8925709
42.3795273,520.6604241,11.228137725,-12.8488067
42.5552495,522.6523886,11.084194075,-12.7516828
42.7309716,524.6443523,10.939466025,-12.6482581
42.9066936,526.6363151,10.793994975,-12.609771
43.0824157,528.6282797,10.64698825,-12.5125943
43.2581377,530.6202433,10.499079975,-12.4082478
43.4338596,532.6122061,10.3503181,-12.3755217
43.6095817,534.6041712,10.1997877,-12.2780537
43.7853036,536.5961333,10.048214625,-12.1723695
