x,y,v_ref,acc
0,0,20,0
0.0270000000018626,-1,20,0
0.0540000000037253,-1.99899999983609,20,0
0.0810000000055879,-2.99899999983609,20,0
0.108000000007451,-3.99899999983609,20,0
0.135000000009313,-4.99799999967217,20,0
0.162000000011176,-5.99799999967217,20,0
0.189999999944121,-6.99799999967217,20,0
0.216999999945983,-7.99699999950826,20,0
0.243999999947846,-8.99699999950826,20,0
0.270999999949709,-9.99600000027567,20,0
0.297999999951571,-10.9960000002757,20,0
0.324999999953434,-11.9960000002757,20,0
0.351999999955297,-12.9950000001118,20,0
0.378999999957159,-13.9950000001118,20,0
0.405999999959022,-14.9950000001118,20,0
0.434000000008382,-15.9939999999478,20,0
0.461000000010245,-16.9939999999478,20,0
0.488000000012107,-17.9929999997839,20,0
0.51500000001397,-18.9929999997839,20,0
0.542000000015833,-19.9929999997839,20,0
0.569000000017695,-20.99199999962,20,0
0.596000000019558,-21.99199999962,20,0
0.62300000002142,-22.99199999962,20,0
0.650000000023283,-23.9909999994561,20,0
0.677999999956228,-24.9909999994561,20,0
0.704999999958091,-25.9909999994561,20,0
0.731999999959953,-26.9900000002235,20,0
0.758999999961816,-27.9900000002235,20,0
0.785999999963678,-28.9890000000596,20,0
0.812999999965541,-29.9890000000596,20,0
0.839999999967404,-30.9890000000596,20,0
0.866999999969266,-31.9879999998957,20,0
0.893999999971129,-32.9879999998957,20,0
0.920999999972992,-33.9879999998957,20,0
0.949000000022352,-34.9869999997318,20,0
0.976000000024214,-35.9869999997318,20,0
1.00300000002608,-36.9869999997318,20,0
1.02999999991152,-37.9859999995679,20,0
1.05699999991339,-38.9859999995679,20,0
1.08399999991525,-39.9849999994039,20,0
1.11099999991711,-40.984999999404,20,0
1.13799999991898,-41.984999999404,20,0
1.16499999992084,-42.9840000001714,20,0
1.1929999999702,-43.9840000001714,20,0
1.21999999997206,-44.9840000001714,20,0
1.24699999997392,-45.9830000000075,20,0
1.27399999997579,-46.9830000000075,20,0
1.30099999997765,-47.9819999998435,20,0
1.32799999997951,-48.9819999998435,20,0
1.35499999998137,-49.9819999998435,20,0
1.38199999998324,-50.9809999996796,20,0
1.4089999999851,-51.9809999996796,20,0
