X,Y,vel,acc
0,0,20,0
0.0204844339750707,-1.10969418939203,20,0
0.0409688720246777,-2.21938837971538,20,0
0.0614533090265468,-3.32908257003874,20,0
0.0819377480074763,-4.43877674918622,20,0
0.102422188967466,-5.54847092926502,20,0
0.122906628996134,-6.65816511958838,20,0
0.1433910720516,-7.76785929966718,20,0
0.163875516038388,-8.87755346950144,20,0
0.184359961072914,-9.98724764958024,20,0
0.204844407038763,-11.096941829659,20,0
0.225328853004612,-12.2066359994933,20,0
0.245813303044997,-13.3163301693276,20,0
0.266297752037644,-14.4260243391618,20,0
0.286782203009352,-15.5357184996828,20,0
0.307266656076536,-16.6454126695171,20,0
0.327751107979566,-17.7551068300381,20,0
0.34823556302581,-18.8648009896278,20,0
0.368720019003376,-19.9744951492175,20,0
0.389204476028681,-21.0841893097386,20,0
0.409688933985308,-22.1938834600151,20,0
0.430173394037411,-23.3035776196048,20,0
0.450657855020836,-24.4132717698812,20,0
0.471142316004261,-25.5229659192264,20,0
0.491626780014485,-26.6326600695029,20,0
0.512111244024709,-27.7423542095348,20,0
0.532595708034933,-28.8520483598113,20,0
0.553080176003277,-29.9617424998432,20,0
0.573564643040299,-31.0714366398752,20,0
0.594049112987705,-32.1811307799071,20,0
0.614533582003787,-33.2908249096945,20,0
0.635018054046668,-34.4005190497264,20,0
0.655502527020872,-35.5102131795138,20,0
0.675986999995075,-36.6199073093012,20,0
0.696471477043815,-37.7296014400199,20,0
0.716955951997079,-38.8392955698073,20,0
0.737440429045819,-39.9489896893501,20,0
0.757924909004942,-41.0586838098243,20,0
0.778409388032742,-42.1683779293671,20,0
0.798893869970925,-43.2780720498413,20,0
0.819378352025524,-44.3877661693841,20,0
0.839862835011445,-45.4974602898583,20,0
0.860347319976427,-46.6071543991566,20,0
0.880831805057824,-47.7168485093862,20,0
0.901316293980926,-48.8265426298603,20,0
0.921800781041384,-49.9362367298454,20,0
0.942285270080902,-51.0459308391437,20,0
0.962769762030803,-52.1556249400601,20,0
0.983254253980704,-53.2653190400451,20,0
1.00373874697834,-54.3750131493434,20,0
1.02422324207146,-55.4847072493285,20,0
1.04470773704816,-56.5944013400003,20,0
1.06519223400392,-57.7040954399854,20,0
1.08567673200741,-58.8137895297259,20,0
1.10616123198997,-59.9234836194664,20,0
1.12664573197253,-61.0331777092069,20,0
1.14713023405056,-62.1428717998788,20,0
1.16761473705992,-63.2525658793747,20,0
1.18809924006928,-64.3622599700466,20,0
1.20858374703676,-65.4719540495425,20,0
1.22906825307291,-66.5816481299698,20,0
1.24955276004039,-67.6913422094658,20,0
1.27003726898693,-68.8010362796485,20,0
1.2905217789812,-69.9107303591445,20,0
1.31100629107095,-71.0204244293273,20,0
1.33149080304429,-72.13011849951,20,0
1.35197531699669,-73.2398125696927,20,0
1.37245983199682,-74.3495066296309,20,0
1.39294434699696,-75.4592006998137,20,0
1.41342886607163,-76.5688947597519,20,0
1.43391338398214,-77.6785888196901,20,0
1.45439790305682,-78.7882828796282,20,0
1.47488242504187,-79.8979769395664,20,0
1.49536694702692,-81.0076709892601,20,0
1.51585147099104,-82.1173650491983,20,0
1.53633599402383,-83.2270590998232,20,0
1.55682052101474,-84.3367531495169,20,0
1.57730504800566,-85.4464471898973,20,0
1.59778957499657,-86.5561412395909,20,0
1.61827410606202,-87.6658352799714,20,0
1.63875863607973,-88.775529329665,20,0
1.65924316702876,-89.8852233700454,20,0
1.67972770205233,-90.99491739925,20,0
1.70021223498043,-92.1046114396304,20,0
1.72069677105173,-93.2143054800108,20,0
1.74118130805437,-94.3239995092154,20,0
1.761665845057,-95.4336935393512,20,0
1.78215038497001,-96.5433875694871,20,0
1.80263492499944,-97.653081599623,20,0
1.82311946700793,-98.7627756195143,20,0
1.84360400901642,-99.8724696394056,20,0
1.86408855207264,-100.982163659297,20,0
1.88457309897058,-102.091857679188,20,0
1.90505764400587,-103.201551700011,20,0
1.92554219206795,-104.311245719902,20,0
1.94602674106136,-105.420939729549,20,0
1.96651129203383,-106.530633739196,20,0
1.98699584207498,-107.640327749774,20,0
2.0074803950265,-108.750021759421,20,0
2.02796494902577,-109.859715769999,20,0
2.04844950302504,-110.969409769401,20,0
2.06893406005111,-112.079103769735,20,0
2.08941861707717,-113.188797769137,20,0
2.10990317398682,-114.29849176947,20,0
2.13038773497101,-115.408185769804,20,0
2.15087229607161,-116.517879759893,20,0
2.17135685798712,-117.627573759295,20,0
2.19184142199811,-118.737267749384,20,0
2.21232598507777,-119.846961739473,20,0
2.23281055106781,-120.956655719317,20,0
2.25329511705786,-122.066349709406,20,0
2.27377968700603,-123.176043689251,20,0
2.29426425497513,-124.28573767934,20,0
2.31474882503971,-125.395431649871,20,0
2.33523339801468,-126.505125629716,20,0
2.35571797005832,-127.61481960956,20,0
2.37620254501235,-128.72451357916,20,0
2.39668712101411,-129.834207559936,20,0
2.41717169596814,-130.943901519291,20,0
2.43765627406538,-132.053595489822,20,0
2.45814085402526,-133.163289459422,20,0
2.47862543398514,-134.272983419709,20,0
2.49911001499277,-135.382677389309,20,0
2.51959459704813,-136.492371349595,20,0
2.54007918201387,-137.602065309882,20,0
2.56056376604829,-138.711759259924,20,0
2.58104835299309,-139.82145321928,20,0
2.60153294005431,-140.931147169322,20,0
2.62201752804685,-142.040841119364,20,0
2.64250211801846,-143.150535069406,20,0
2.66298670996912,-144.260229019448,20,0
2.6834713020362,-145.36992296949,20,0
2.7039558950346,-146.479616909288,20,0
2.72444049001206,-147.589310850017,20,0
2.74492508603726,-148.699004789814,20,0
